Year,State,All staff,Teachers,Teachers as a %
2019,New Hampshire,32338.9,14643.5,45.28137939
2019,New Jersey,240766.29,116188.58,48.25782712
2019,New Mexico,37300.81,21139.21,56.67225457
2019,New York,399118.3,212156.93,53.1564025
2019,North Carolina,193980.19,100220.3,51.66522417
2019,North Dakota,18913.91,9470.08,50.06939337
2019,Ohio,328089.85,101739.4,31.0096152
2019,Oklahoma,86709.43,42447.9,48.95419103
2019,Oregon,70802.32,30151.69,42.5857373
2019,Pennsylvania,249286.81,123350.43,49.48133036
2019,Rhode Island,20513.95,10749.13,52.39912352
2019,South Carolina,89964.47,52729.5,58.61147184
2019,South Dakota,19814.41,9865.42,49.78911812
2019,Tennessee,133504.2,64116,48.02545538
2019,Texas,722635.7,359575.86,49.75893939
2019,Utah,59922.01,29753.4,49.65354133
2019,Vermont,18232.87,8316.97,45.61525421
2019,Virginia,185858.07,86973.59,46.79570276
2019,Washington,102940.39,61837.41,60.0710858
2019,West Virginia,37140.04,18911.6,50.91970822
2019,Wisconsin,113361.86,59483.65,52.47236593
2019,Wyoming,16526.04,7327.39,44.33845011
2020,United States,6683301.56,3198169.63,47.85313967
2020,Alabama,76456.41,42021.73,54.9616834
2020,Alaska,16980.03,7483.72,44.07365594
2020,Arizona,106835.31,48911.78,45.78241033
2020,Arkansas,77034.38,38629.48,50.14576609
2020,California,613096.02,271805.2,44.3332188
2020,Colorado,117692.11,53900.97,45.79828673
2020,Connecticut,96886.09,42385.85,43.74812731
2020,Delaware,17133.42,9747,56.88881729
2020,District of Columbia,16578.2,7409.22,44.69254805
2020,Florida,344008.08,166002.13,48.2552997
2020,Georgia,237310.8,117836.9,49.65509366
2020,Hawaii,23336.19,12220.77,52.36831719
2020,Idaho,29942.71,17206.53,57.46483869
2020,Illinois,257247.85,132814.75,51.62910011
2020,Indiana,148729.92,61711.79,41.49251879
2020,Iowa,77459.88,35737.21,46.13641281
2020,Kansas,72547.94,36603.08,50.45364486
2020,Kentucky,98882.02,42222.99,42.70037161
2020,Louisiana,79255,38588.98,48.68964734
2020,Maine,36566.78,14826.48,40.54631007
2020,Maryland,121157.89,61484.58,50.7474833
2020,Massachusetts,137601.61,75152.19,54.61577811
2020,Michigan,191890.98,84837.94,44.21153094
2020,Minnesota,122018.2,55630.45,45.59192809
2020,Mississippi,67226.12,31578.21,46.97312592
2020,Missouri,125332.89,69144.54,55.1687111
2020,Montana,21733.98,10675.42,49.11856917
2020,Nebraska,48201.91,24028.25,49.84916573
2020,Nevada,48718,25508.5,52.35949752
2020,New Hampshire,32018.21,14694.5,45.89419583
2020,New Jersey,242253.68,117059.83,48.32117721
2020,New Mexico,38220.53,21849.97,57.16815021
2020,New York,426192.26,217398.42,51.00947164
2020,North Carolina,194617.77,100776.93,51.78197757
2020,North Dakota,19132.64,9283.6,48.52231579
2020,Ohio,340436.46,105997.88,31.13587775
2020,Oklahoma,88901.08,43315.18,48.72289515
2020,Oregon,70068.73,30237.56,43.15414308
2020,Pennsylvania,252559.26,124293.91,49.21376076
2020,Rhode Island,20519.46,10703.64,52.16336102
2020,South Carolina,98586.7,53556,54.32375767
2020,South Dakota,20167.51,9929.61,49.23567659
2020,Tennessee,135256.8,64784.2,47.89718521
2020,Texas,738419.45,364478.38,49.35926051
2020,Utah,61023.16,30255.81,49.58086405
2020,Vermont,18695.47,8042.2,43.01683777
2020,Virginia,186268.53,87146.89,46.78562181
2020,Washington,103506.51,62212.47,60.10488616
2020,West Virginia,37261.75,18853.7,50.59799929
2020,Wisconsin,114708.68,59801.12,52.13303823
2020,Wyoming,16626.2,7391.19,44.45507693
